      Step     Time          Energy         fmax
BFGS:    0 09:29:08      -40.838974        0.3771
BFGS:    1 09:29:08      -40.844589        0.3669
BFGS:    2 09:29:08      -40.927524        0.1130
BFGS:    3 09:29:08      -40.929977        0.1099
BFGS:    4 09:29:08      -40.935129        0.0762
BFGS:    5 09:29:08      -40.937974        0.0427
BFGS:    6 09:29:08      -40.939132        0.0374
BFGS:    7 09:29:08      -40.939460        0.0366
BFGS:    8 09:29:08      -40.939843        0.0303
BFGS:    9 09:29:08      -40.940289        0.0171
BFGS:   10 09:29:08      -40.940601        0.0203
BFGS:   11 09:29:08      -40.940716        0.0199
BFGS:   12 09:29:08      -40.940769        0.0176
BFGS:   13 09:29:08      -40.940849        0.0162
BFGS:   14 09:29:08      -40.940971        0.0167
BFGS:   15 09:29:08      -40.941083        0.0126
BFGS:   16 09:29:08      -40.941134        0.0090
BFGS:   17 09:29:08      -40.941149        0.0086
BFGS:   18 09:29:08      -40.941158        0.0076
BFGS:   19 09:29:08      -40.941175        0.0055
BFGS:   20 09:29:08      -40.941191        0.0028
BFGS:   21 09:29:08      -40.941199        0.0024
BFGS:   22 09:29:08      -40.941201        0.0023
BFGS:   23 09:29:08      -40.941202        0.0020
BFGS:   24 09:29:08      -40.941203        0.0014
BFGS:   25 09:29:08      -40.941204        0.0009
      Step     Time          Energy         fmax
BFGS:    0 09:29:17      -40.838974        0.3771
BFGS:    1 09:29:17      -40.844589        0.3669
BFGS:    2 09:29:18      -40.927524        0.1130
BFGS:    3 09:29:18      -40.929977        0.1099
BFGS:    4 09:29:18      -40.935129        0.0762
BFGS:    5 09:29:18      -40.937974        0.0427
BFGS:    6 09:29:18      -40.939132        0.0374
BFGS:    7 09:29:18      -40.939460        0.0366
BFGS:    8 09:29:18      -40.939843        0.0303
BFGS:    9 09:29:18      -40.940289        0.0171
BFGS:   10 09:29:18      -40.940601        0.0203
BFGS:   11 09:29:18      -40.940716        0.0199
BFGS:   12 09:29:18      -40.940769        0.0176
BFGS:   13 09:29:18      -40.940849        0.0162
BFGS:   14 09:29:18      -40.940971        0.0167
BFGS:   15 09:29:18      -40.941083        0.0126
BFGS:   16 09:29:18      -40.941134        0.0090
BFGS:   17 09:29:18      -40.941149        0.0086
BFGS:   18 09:29:18      -40.941158        0.0076
BFGS:   19 09:29:18      -40.941175        0.0055
BFGS:   20 09:29:18      -40.941191        0.0028
BFGS:   21 09:29:18      -40.941199        0.0024
BFGS:   22 09:29:18      -40.941201        0.0023
BFGS:   23 09:29:18      -40.941202        0.0020
BFGS:   24 09:29:18      -40.941203        0.0014
BFGS:   25 09:29:18      -40.941204        0.0009
      Step     Time          Energy         fmax
BFGS:    0 09:30:36      -40.838974        0.3771
BFGS:    1 09:30:36      -40.844589        0.3669
BFGS:    2 09:30:36      -40.927524        0.1130
BFGS:    3 09:30:36      -40.929977        0.1099
BFGS:    4 09:30:36      -40.935129        0.0762
BFGS:    5 09:30:36      -40.937974        0.0427
BFGS:    6 09:30:36      -40.939132        0.0374
BFGS:    7 09:30:36      -40.939460        0.0366
BFGS:    8 09:30:36      -40.939843        0.0303
BFGS:    9 09:30:36      -40.940289        0.0171
BFGS:   10 09:30:36      -40.940601        0.0203
BFGS:   11 09:30:36      -40.940716        0.0199
BFGS:   12 09:30:36      -40.940769        0.0176
BFGS:   13 09:30:36      -40.940849        0.0162
BFGS:   14 09:30:36      -40.940971        0.0167
BFGS:   15 09:30:36      -40.941083        0.0126
BFGS:   16 09:30:36      -40.941134        0.0090
BFGS:   17 09:30:36      -40.941149        0.0086
